sample_id,sample_index,class_id,seed,window_id,stage,start_call,end_call,window_len,pis_lpips,pis_dino,pis_total_z,pis_total_rank,pis_psnr,pis_ssim,start_step,end_step,start_t,end_t,start_call_kind,end_call_kind,mean_t,min_t,max_t,num_predictor,num_corrector,R_time_len,R_time_sum_ode,R_time_mean_t,R_time_inv_1mt,R_raw_adj,R_raw_anchor,R_sea_adj,R_sea_anchor,R_xw_adj,R_xw_anchor,R_xwp_anchor,R_xwp_ode_scalar,R_xwp_ode_vector,R_uncertainty_sum,R_uncertainty_mean,R_xwp_ode_scalar_u_eta0p03,R_xwp_ode_scalar_u_eta0p1,R_xwp_ode_scalar_u_eta0p3,R_xwp_ode_vector_u_eta0p03,R_xwp_ode_vector_u_eta0p1,R_xwp_ode_vector_u_eta0p3,R_oracle_xhat_scalar,R_oracle_xhat_vector,R_oracle_xhat_scalar_u_eta0p1,R_oracle_xhat_vector_u_eta0p1,valid_risk,invalid_reason,n_calls,risk_compute_sec
0,0,0,0,0,sanity,1,1,1,0.2149776518344879,0.1495198607444763,8.521992122553682,1.9607142857142856,28.50106430053711,0.9172950983047484,0,0,0.0101010100916028,0.0101010100916028,corrector,corrector,0.010101010091602802,0.010101010091602802,0.010101010091602802,0,1,1.0,0.010204081623052797,0.010101010091602802,1.0102040816230529,0.014751522801816463,0.014751522801816463,2.0,0.010426188819110394,2.0,1.2316529750823975,1.4684422016143799,0.014984104084008484,1.4684420613810356,0.9648326635360718,0.9648326635360718,0.043929083990090635,0.11146737043761566,0.30443390314483,1.4973870412871177,1.5649253277346429,1.7578918604418572,0.0005921888330663697,0.058034500323822284,0.09707545518667356,0.15451776667742947,True,,1,0.058888064697384834
0,0,0,0,1,sanity,2,2,1,0.0576141327619552,0.1533010005950927,4.7537372054500375,1.9017857142857144,37.596946716308594,0.9811222553253174,1,1,0.0101010100916028,0.0101010100916028,predictor,predictor,0.010101010091602802,0.010101010091602802,0.010101010091602802,1,0,1.0,0.010204081623052797,0.010101010091602802,1.0102040816230529,0.014287945814430714,0.014287945814430714,0.01021494995802641,0.01021494995802641,0.010214990936219692,1.2333496809005737,1.4708377122879028,0.015008548070450007,1.4708378151068178,0.9648326635360718,0.9648326635360718,0.04395352797653216,0.11149181442405719,0.3044583471312715,1.4997827950129,1.567321081460425,1.7602876141676393,0.0006518576820235214,0.06388204903654221,0.09713512403563071,0.1603653153901494,True,,1,0.009814837016165257
0,0,0,0,2,sanity,3,3,1,0.0898672267794609,0.2246754169464111,7.38895025935019,1.9571428571428573,33.930606842041016,0.9686403274536132,1,1,0.0204081628471612,0.0204081628471612,corrector,corrector,0.020202020183205605,0.020202020183205605,0.020202020183205605,0,1,1.0,0.010309278340716236,0.020202020183205605,1.0206185566814325,0.01453370600938797,0.01453370600938797,0.15825097262859344,0.01633254438638687,0.4823985993862152,1.3258708715438843,1.6378835439682007,0.016885397344446922,1.6378835631473603,0.8851631879806519,0.8851631879806519,0.04344029298386648,0.10540171614251212,0.2824343537386425,1.6644384587867798,1.7263998819454254,1.9034325195415558,0.0006267421863315697,0.060793987932765615,0.08914306098439677,0.14931030673083082,True,,1,0.0070182387717068195
0,0,0,0,3,sanity,5,5,1,0.0376292057335376,0.0519991517066955,1.6471941033501245,1.8482142857142856,37.66944885253906,0.9859890937805176,2,2,0.0309278350323438,0.0309278350323438,corrector,corrector,0.03030303120613098,0.03030303120613098,0.03030303120613098,0,1,1.0,0.010416667627093073,0.03030303120613098,1.0312500009604264,0.015148273669183254,0.015148273669183254,0.20069193840026855,0.006709764711558819,0.18841084837913513,1.3516663312911987,1.6602901220321655,0.017294690365754865,1.6602902434751459,0.8011773228645325,0.8011773228645325,0.04133001005169084,0.09741242265220812,0.2576478872251146,1.6843255631610818,1.7404079757615991,1.9006434403345056,0.00062285842839285,0.05979440081507794,0.0807405907148461,0.1399121331015312,True,,1,0.006773164961487055
0,0,0,0,4,sanity,7,7,1,0.007749596145004,0.0168302059173584,0.0051032991783228,1.7089285714285714,42.61539840698242,0.9965285658836364,3,3,0.0416666641831398,0.0416666641831398,corrector,corrector,0.04040404036641121,0.04040404036641121,0.04040404036641121,0,1,1.0,0.010526314808721357,0.04040404036641121,1.04210526311703,0.015018207021057606,0.015018207021057606,0.20353850722312927,0.02062881737947464,0.13801820576190948,1.3526973724365234,1.6592109203338623,0.017465376481502527,1.659210890080628,0.7295156121253967,0.7295156121253967,0.039350844845264424,0.0904169376940422,0.23632006011912154,1.6810963584443899,1.7321624512931677,1.878065573718247,0.0006466711219795939,0.0614337582454244,0.07359823233451927,0.1343853194579641,True,,1,0.0063319019973278046
0,0,0,0,5,sanity,8,8,1,0.0007874346338212,0.0014727115631103,-0.5624588418822544,1.1910714285714286,53.74176788330078,0.999706208705902,4,4,0.0416666641831398,0.0416666641831398,predictor,predictor,0.04040404036641121,0.04040404036641121,0.04040404036641121,1,0,1.0,0.010526314808721357,0.04040404036641121,1.04210526311703,0.013504528440535069,0.013504528440535069,0.01548959594219923,0.01548959594219923,0.015489588491618633,1.355509638786316,1.6629221439361572,0.01750444198946584,1.662922042450664,0.7295156121253967,0.7295156121253967,0.03938991035322774,0.09045600320200552,0.23635912562708486,1.684807510814426,1.7358736036632039,1.8817767260882832,0.0006586937698464431,0.06257591092216644,0.07361025498238612,0.13552747213470612,True,,1,0.006107930559664965
0,0,0,0,6,sanity,16,16,1,0.0003179234627168,0.0004165172576904,-0.6012637283335278,0.9196428571428572,61.29297637939453,0.9999008178710938,8,8,0.0869565159082412,0.0869565159082412,predictor,predictor,0.08080808073282242,0.08080808073282242,0.08080808073282242,1,0,1.0,0.010989014017468214,0.08080808073282242,1.0879120878230157,0.014300083741545677,0.014300083741545677,0.011489102616906166,0.011489102616906166,0.01148908119648695,1.3040170669555664,1.6300586462020874,0.01791273731241,1.630058481718096,0.5434607267379761,0.5434607267379761,0.03421655911454928,0.07225880998620761,0.18095095533380282,1.6463623035202353,1.6844045543918937,1.7930966997394888,0.0008786044734341301,0.07995299385840064,0.05522467714723174,0.13429906653219825,True,,1,0.006019812077283859
0,0,0,0,7,sanity,32,32,1,4.068293492309749e-06,6.318092346191406e-06,-0.6195652884847914,0.1883928571428571,79.4095230102539,0.9999984502792358,16,16,0.1904761791229248,0.1904761791229248,predictor,predictor,0.16161616146564484,0.16161616146564484,0.16161616146564484,1,0,1.0,0.012048187203427362,0.16161616146564484,1.1927710841232086,0.014680921100080013,0.014680921100080013,0.013122549280524254,0.013122549280524254,0.013122549280524254,1.1321861743927002,1.5125489234924316,0.018223472584579348,1.5125491066686447,0.3461582660675049,0.3461582660675049,0.028608220566604496,0.05283929919132984,0.1220709524048308,1.5229338546506699,1.5471649332753952,1.6163965864888963,0.0007083364238116401,0.0587919523772919,0.035324163030562135,0.0934077789840424,True,,1,0.005767026916146278
0,0,0,0,8,sanity,64,64,1,3.5975514123265384e-08,-1.1920928955078125e-07,-0.6198305578326033,0.0133928571428571,98.45295715332033,1.0,32,32,0.4705882966518402,0.4705882966518402,predictor,predictor,0.3232323229312897,0.3232323229312897,0.3232323229312897,1,0,1.0,0.014925388251255969,0.3232323229312897,1.4776119396412497,0.015523421578109264,0.015523421578109264,0.015053009614348412,0.015053009614348412,0.015053006820380688,0.87746262550354,1.2280945777893066,0.01832978838276768,1.2280948087483063,0.16968964040279388,0.16968964040279388,0.023420477594851496,0.03529875242304707,0.06923668050360585,1.2331854979603902,1.2450637727885858,1.2790017008691446,0.0009372250509169913,0.06279402373330696,0.017906189091196383,0.07976298777358636,True,,1,0.0057653640396893024
0,0,0,0,9,sanity,90,90,1,1.0790477062982973e-06,4.76837158203125e-07,-0.6197895433890683,0.0678571428571428,87.69581604003906,0.999999701976776,45,45,0.8181819319725037,0.8181819319725037,predictor,predictor,0.4545454680919647,0.4545454680919647,0.4545454680919647,1,0,1.0,0.018518483105264185,0.4545454680919647,1.8333333788646604,0.015911737456917763,0.015911737456917763,0.016084441915154457,0.016084441915154457,0.01608443632721901,0.7822690010070801,0.9897174835205078,0.01832806649755911,0.9897175154503846,0.11226032674312592,0.11226032674312592,0.021695876299852885,0.0295540991718717,0.05200616452049688,0.9930853252526783,1.000943548124697,1.0233956134733224,0.001330498683128717,0.0718470680440256,0.012556531357441308,0.08307310071833819,True,,1,0.005742873065173626
